size,selection,shaker,quicksort,stdsort
5,0.002,0.0019,0.0069,0.0023
10,0.0036,0.0104,0.0162,0.004
20,0.0083,0.0404,0.0281,0.0098
50,0.0286,0.2615,0.0869,0.0301
100,0.0884,1.0346,0.295,0.0687
200,0.4287,4.1179,0.3895,0.1633
500,1.6299,26.1056,1.411,0.4762
1000,6.0023,111.485,2.6161,1.1101
2000,23.3819,446.785,5.9252,2.4538
5000,142.658,2815.02,17.4433,7.3313
10000,604.751,11393.9,45.2357,16.1199
20000,2419.14,46067.4,126.931,35.3015
50000,15664.3,297848,272.725,102.083
100000,66733.3,3.37343e+06,1115.7,490.126
